stdThresh,profitThresh,window,profit,txcount,
1.5,1.02,135,-0.225442,9,
1.5,1.02,150,-0.109551,10,
1.5,1.02,165,-0.23211,9,
1.5,1.02,180,-0.23687,11,
1.5,1.02,195,-0.220361,11,
1.5,1.02,210,-0.191664,9,
1.5,1.02,225,-0.0534482,10,
1.5,1.02,240,-0.208692,9,
1.5,1.021,30,-0.28755,30,
1.5,1.021,45,-0.293912,28,
1.5,1.021,60,-0.287864,28,
1.5,1.021,75,-0.230761,24,
1.5,1.021,90,-0.255403,22,
1.5,1.021,105,-0.302016,17,
1.5,1.021,120,-0.293871,17,
1.5,1.021,135,-0.225442,9,
1.5,1.021,150,-0.109551,10,
1.5,1.021,165,-0.23211,9,
1.5,1.021,180,-0.23687,11,
1.5,1.021,195,-0.220361,11,
1.5,1.021,210,-0.191664,9,
1.5,1.021,225,-0.0534482,10,
1.5,1.021,240,-0.208692,9,
1.5,1.022,30,-0.28755,30,
1.5,1.022,45,-0.293912,28,
1.5,1.022,60,-0.287864,28,
1.5,1.022,75,-0.230761,24,
1.5,1.022,90,-0.255403,22,
1.5,1.022,105,-0.302016,17,
1.5,1.022,120,-0.293871,17,
1.5,1.022,135,-0.225442,9,
1.5,1.022,150,-0.109551,10,
1.5,1.022,165,-0.23211,9,
1.5,1.022,180,-0.23687,11,
1.5,1.022,195,-0.220361,11,
1.5,1.022,210,-0.191664,9,
1.5,1.022,225,-0.0534482,10,
1.5,1.022,240,-0.208692,9,
1.5,1.023,30,-0.28755,30,
1.5,1.023,45,-0.293912,28,
1.5,1.023,60,-0.287041,28,
1.5,1.023,75,-0.237198,24,
1.5,1.023,90,-0.261633,22,
1.5,1.023,105,-0.302016,17,
1.5,1.023,120,-0.288822,17,
1.5,1.023,135,-0.225442,9,
1.5,1.023,150,-0.109551,10,
1.5,1.023,165,-0.23211,9,
1.5,1.023,180,-0.23687,11,
1.5,1.023,195,-0.220361,11,
1.5,1.023,210,-0.191664,9,
1.5,1.023,225,-0.0534482,10,
1.5,1.023,240,-0.208692,9,
1.5,1.024,30,-0.296347,30,
1.5,1.024,45,-0.29982,28,
1.5,1.024,60,-0.287041,28,
1.5,1.024,75,-0.235937,24,
1.5,1.024,90,-0.260413,22,
1.5,1.024,105,-0.301803,17,
1.5,1.024,120,-0.29091,17,
1.5,1.024,135,-0.231923,9,
1.5,1.024,150,-0.117002,10,
1.5,1.024,165,-0.231875,9,
1.5,1.024,180,-0.243255,11,
1.5,1.024,195,-0.226885,11,
1.5,1.024,210,-0.198428,9,
1.5,1.024,225,-0.0581505,10,
1.5,1.024,240,-0.215313,9,
1.5,1.025,30,-0.294538,30,
1.5,1.025,45,-0.298662,28,
1.5,1.025,60,-0.281943,28,
1.5,1.025,75,-0.235937,24,
1.5,1.025,90,-0.260413,22,
1.5,1.025,105,-0.300008,17,
1.5,1.025,120,-0.29091,17,
1.5,1.025,135,-0.230653,9,
1.5,1.025,150,-0.115542,10,
1.5,1.025,165,-0.2299,9,
1.5,1.025,180,-0.242004,11,
1.5,1.025,195,-0.229882,11,
1.5,1.025,210,-0.197103,9,
1.5,1.025,225,-0.0581505,10,
1.5,1.025,240,-0.214016,9,
1.5,1.026,30,-0.294538,30,
1.5,1.026,45,-0.298662,28,
1.5,1.026,60,-0.284051,28,
1.5,1.026,75,-0.236214,24,
1.5,1.026,90,-0.260681,22,
1.5,1.026,105,-0.300008,17,
1.5,1.026,120,-0.29091,17,
1.5,1.026,135,-0.230653,9,
1.5,1.026,150,-0.115542,10,
1.5,1.026,165,-0.2299,9,
1.5,1.026,180,-0.242004,11,
1.5,1.026,195,-0.229882,11,
1.5,1.026,210,-0.197103,9,
1.5,1.026,225,-0.0581505,10,
1.5,1.026,240,-0.214016,9,
1.5,1.027,30,-0.292601,30,
1.5,1.027,45,-0.298917,28,
1.5,1.027,60,-0.284051,28,
1.5,1.027,75,-0.236214,24,
1.5,1.027,90,-0.260681,22,
1.5,1.027,105,-0.300262,17,
1.5,1.027,120,-0.290314,15,
1.5,1.027,135,-0.230933,9,
1.5,1.027,150,-0.115863,10,
1.5,1.027,165,-0.227785,9,
1.5,1.027,180,-0.242279,11,
1.5,1.027,195,-0.227767,11,
1.5,1.027,210,-0.197394,9,
1.5,1.027,225,-0.0555633,10,
1.5,1.027,240,-0.216208,9,
1.5,1.028,30,-0.292601,30,
1.5,1.028,45,-0.298917,28,
1.5,1.028,60,-0.284051,28,
1.5,1.028,75,-0.236214,24,
1.5,1.028,90,-0.260681,22,
1.5,1.028,105,-0.300262,17,
1.5,1.028,120,-0.290314,15,
1.5,1.028,135,-0.230933,9,
1.5,1.028,150,-0.115863,10,
1.5,1.028,165,-0.227785,9,
1.5,1.028,180,-0.242279,11,
1.5,1.028,195,-0.227767,11,
1.5,1.028,210,-0.197394,9,
1.5,1.028,225,-0.0555633,10,
1.5,1.028,240,-0.216208,9,
1.5,1.029,30,-0.292601,30,
1.5,1.029,45,-0.298917,28,
1.5,1.029,60,-0.283449,26,
1.5,1.029,75,-0.235331,24,
1.5,1.029,90,-0.259826,22,
1.5,1.029,105,-0.300262,17,
1.5,1.029,120,-0.290314,15,
1.5,1.029,135,-0.230933,9,
1.5,1.029,150,-0.115863,10,
1.5,1.029,165,-0.227785,9,
1.5,1.029,180,-0.242279,11,
1.5,1.029,195,-0.227767,11,
1.5,1.029,210,-0.197394,9,
1.5,1.029,225,-0.0534361,10,
1.5,1.029,240,-0.216208,9,
1.5,1.03,30,-0.291783,30,
1.5,1.03,45,-0.298106,28,
1.5,1.03,60,-0.283449,26,
1.5,1.03,75,-0.235331,24,
1.5,1.03,90,-0.259826,22,
1.5,1.03,105,-0.299453,17,
1.5,1.03,120,-0.290314,15,
1.5,1.03,135,-0.230043,9,
1.5,1.03,150,-0.114841,10,
1.5,1.03,165,-0.226892,9,
1.5,1.03,180,-0.241403,11,
